# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
  2  1.60000000E+01     0.00000000    -1.00000000
 40  4.39804651E+12     0.05000000    -1.00057204
 41  8.79609302E+12     0.10000000    -1.00231270
 43  3.51843721E+13     0.15000000    -1.00526342
 44  7.03687442E+13     0.20000000    -1.00947086
 43  3.51843721E+13     0.25000000    -1.01498451
 44  7.03687442E+13     0.30000000    -1.02185364
 45  1.40737488E+14     0.35000000    -1.03012468
 45  1.40737488E+14     0.40000000    -1.03983983
 50  4.50359963E+15     0.45000000    -1.05103703
 47  5.62949953E+14     0.50000000    -1.06375082
 46  2.81474977E+14     0.55000000    -1.07801327
 46  2.81474977E+14     0.60000000    -1.09385407
 47  5.62949953E+14     0.65000000    -1.11129870
 46  2.81474977E+14     0.70000000    -1.13036257
 48  1.12589991E+15     0.75000000    -1.15106960
 47  5.62949953E+14     0.80000000    -1.17342399
 49  2.25179981E+15     0.85000000    -1.19742714
 46  2.81474977E+14     0.90000000    -1.22307350
 47  5.62949953E+14     0.95000000    -1.25034970
 52  1.80143985E+16     1.00000000    -1.27923477
 48  1.12589991E+15     1.05000000    -1.30970140
 48  1.12589991E+15     1.10000000    -1.34171726
 48  1.12589991E+15     1.15000000    -1.37524552
 47  5.62949953E+14     1.20000000    -1.41024546
 49  2.25179981E+15     1.25000000    -1.44667301
 48  1.12589991E+15     1.30000000    -1.48904450
 49  2.25179981E+15     1.35000000    -1.52887657
 48  1.12589991E+15     1.40000000    -1.56985731
 58  1.15292150E+18     1.45000000    -1.61185682
 57  5.76460752E+17     1.50000000    -1.65477205
 49  2.25179981E+15     1.55000000    -1.69848228
 48  1.12589991E+15     1.60000000    -1.74284486
 49  2.25179981E+15     1.65000000    -1.78770389
 56  2.88230376E+17     1.70000000    -1.83296895
 50  4.50359963E+15     1.75000000    -1.87858288
 50  4.50359963E+15     1.80000000    -1.92450211
 49  2.25179981E+15     1.85000000    -1.97069166
 49  2.25179981E+15     1.90000000    -2.01712264
 48  1.12589991E+15     1.95000000    -2.06377071
 49  2.25179981E+15     2.00000000    -2.11061510
 49  2.25179981E+15     2.05000000    -2.15763785
 50  4.50359963E+15     2.10000000    -2.20482335
 48  1.12589991E+15     2.15000000    -2.25215786
 49  2.25179981E+15     2.20000000    -2.29962928
 49  2.25179981E+15     2.25000000    -2.34722686
 49  2.25179981E+15     2.30000000    -2.39494099
 51  9.00719925E+15     2.35000000    -2.44276309
 48  1.12589991E+15     2.40000000    -2.49068541
 48  1.12589991E+15     2.45000000    -2.53870098
 49  2.25179981E+15     2.50000000    -2.58680347
 49  2.25179981E+15     2.55000000    -2.63498713
 50  4.50359963E+15     2.60000000    -2.68324674
 49  2.25179981E+15     2.65000000    -2.73157751
 52  1.80143985E+16     2.70000000    -2.77997508
 51  9.00719925E+15     2.75000000    -2.82843542
 49  2.25179981E+15     2.80000000    -2.87695484
 51  9.00719925E+15     2.85000000    -2.92552995
 52  1.80143985E+16     2.90000000    -2.97415760
 48  1.12589991E+15     2.95000000    -3.02283490
 52  1.80143985E+16     3.00000000    -3.07155916
